longitude,latitude,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,target
0.75,40.25,49.0,94.0,65.0,22.0,2.668000059,242.6071777,38.19930649,14.11972618,37.08093262,19.28873444,0.0,0.0
3.25,40.25,85.0,2190.0,1362.0,44.0,0.699999975,193.7450409,38.46688843,13.07647514,37.33890533,19.55249786,0.0,0.0
2.75,41.25,79.0,2048.0,1160.0,60.0,1.841000048,193.7158508,38.46677017,13.07619381,37.74175262,18.6344223,0.0,0.0
3.25,41.75,18.0,1325.0,276.0,0.0,3.327999962,231.9269104,38.45252991,13.44425774,37.80295944,17.71052742,0.0,0.0
3.75,43.25,18.0,99.0,63.0,0.0,5.307999905,246.9826202,38.38238907,13.84871101,37.21285629,16.83189392,0.0,0.0
4.25,43.25,48.0,163.0,71.0,15.0,23.59800041,248.6604614,38.3839798,13.95573235,36.46764755,16.98760605,0.0,0.0
5.25,40.25,127.0,2931.0,2819.0,2697.0,0.875000027,193.9228668,38.44350052,13.04305172,37.19494629,19.36251831,0.0,0.0
6.25,41.75,202.0,2712.0,2618.0,2527.0,0.792999985,194.3033447,38.4190979,13.04738045,37.8207283,18.0496254,0.0,0.0
7.25,43.75,8.0,2323.0,725.0,0.0,2.145000035,189.2902069,38.54350281,13.26657867,38.11256409,18.48358917,0.0,0.0
7.75,43.75,14.0,2472.0,1425.0,0.0,1.230000053,194.7799835,38.45680237,13.19524574,38.12075043,18.36335564,0.0,0.0
14.25,40.75,15.0,1041.0,285.0,0.0,3.093000036,241.793045,38.39322281,14.4757843,37.91002655,19.92247391,0.0,0.0
19.25,40.75,19.0,741.0,133.0,0.0,5.472999997,241.6468658,38.57843781,17.35395432,38.37428284,19.60901451,0.0,0.0
18.75,41.25,84.0,1003.0,589.0,108.0,1.463999972,204.0215912,38.74227142,13.76469421,38.42198181,19.43950272,0.0,0.0
17.25,42.75,20.0,331.0,93.0,0.0,3.725999966,234.6146851,38.66555786,13.67754555,38.40366364,19.15251923,0.0,0.0
17.75,42.75,15.0,328.0,116.0,0.0,6.84100017,239.4416351,38.6763382,13.78138065,38.39919662,19.2638073,0.0,0.0
15.25,43.75,20.0,139.0,31.0,0.0,2.05000001,228.5391083,38.6149292,13.09501839,37.92746735,18.61857796,0.0,0.0
